img1_path,img2_path,label
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Trent_Lott\Trent_Lott_0003.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Trent_Lott\Trent_Lott_0015.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Carson_Palmer\Carson_Palmer_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Carson_Palmer\Carson_Palmer_0004.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Reggie_Miller\Reggie_Miller_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Reggie_Miller\Reggie_Miller_0002.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Amy_Pascal\Amy_Pascal_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Takaloo\Takaloo_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Thaksin_Shinawatra\Thaksin_Shinawatra_0006.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Mayumi_Moriyama\Mayumi_Moriyama_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Gavyn_Davies\Gavyn_Davies_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Jimmy_Jimenez\Jimmy_Jimenez_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Matt_LeBlanc\Matt_LeBlanc_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Gloria_Trevi\Gloria_Trevi_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Melissa_Etheridge\Melissa_Etheridge_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Mike_Montgomery\Mike_Montgomery_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Dexter_Jackson\Dexter_Jackson_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Dexter_Jackson\Dexter_Jackson_0002.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Valery_Giscard_dEstaing\Valery_Giscard_dEstaing_0003.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Valery_Giscard_dEstaing\Valery_Giscard_dEstaing_0002.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Zydrunas_Ilgauskas\Zydrunas_Ilgauskas_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Anne_Heche\Anne_Heche_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Geoffrey_Rush\Geoffrey_Rush_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Willis_Roberts\Willis_Roberts_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Bijan_Darvish\Bijan_Darvish_0003.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\John_Barnett\John_Barnett_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Li_Zhaoxing\Li_Zhaoxing_0005.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Li_Zhaoxing\Li_Zhaoxing_0008.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Yasushi_Chimura\Yasushi_Chimura_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Richard_Tubb\Richard_Tubb_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Arturo_Gatti\Arturo_Gatti_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Arturo_Gatti\Arturo_Gatti_0001.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Rupert_Murdoch\Rupert_Murdoch_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Rupert_Murdoch\Rupert_Murdoch_0002.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Jose_Theodore\Jose_Theodore_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Jose_Theodore\Jose_Theodore_0002.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Heizo_Takenaka\Heizo_Takenaka_0003.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Heizo_Takenaka\Heizo_Takenaka_0006.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Mark_Geragos\Mark_Geragos_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Mark_Geragos\Mark_Geragos_0001.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Ray_Allen\Ray_Allen_0003.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Ray_Allen\Ray_Allen_0002.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Perry_Farrell\Perry_Farrell_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Saeed_Mortazavi\Saeed_Mortazavi_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Gray_Davis\Gray_Davis_0010.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Dusty_Baker\Dusty_Baker_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\John_Lithgow\John_Lithgow_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Lee_Hoi-chang\Lee_Hoi-chang_0002.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Gustavo_Kuerten\Gustavo_Kuerten_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Gustavo_Kuerten\Gustavo_Kuerten_0003.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Bob_Goldman\Bob_Goldman_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Walid_Al-Awadi\Walid_Al-Awadi_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Ali_Adbul_Karim_Madani\Ali_Adbul_Karim_Madani_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Monica_Bellucci\Monica_Bellucci_0004.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Sheila_Copps\Sheila_Copps_0004.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Sheila_Copps\Sheila_Copps_0001.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Sebastian_Saja\Sebastian_Saja_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Sebastian_Saja\Sebastian_Saja_0003.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Jim_Edmonds\Jim_Edmonds_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Elijah_Wood\Elijah_Wood_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Michael_Schumacher\Michael_Schumacher_0008.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Michael_Schumacher\Michael_Schumacher_0011.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Tyra_Banks\Tyra_Banks_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Tyra_Banks\Tyra_Banks_0001.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Thaksin_Shinawatra\Thaksin_Shinawatra_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Thaksin_Shinawatra\Thaksin_Shinawatra_0004.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Emile_Lahoud\Emile_Lahoud_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Emile_Lahoud\Emile_Lahoud_0001.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Azra_Akin\Azra_Akin_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Jamie_Dimon\Jamie_Dimon_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Francis_Ford_Coppola\Francis_Ford_Coppola_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Francis_Ford_Coppola\Francis_Ford_Coppola_0002.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\William_Murabito\William_Murabito_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Tom_Izzo\Tom_Izzo_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Ralph_Klein\Ralph_Klein_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Rohinton_Mistry\Rohinton_Mistry_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Dianne_Feinstein\Dianne_Feinstein_0003.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Dianne_Feinstein\Dianne_Feinstein_0002.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Bill_McBride\Bill_McBride_0009.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Bill_McBride\Bill_McBride_0001.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Tony_Bennett\Tony_Bennett_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Tony_Bennett\Tony_Bennett_0003.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Lindsey_Graham\Lindsey_Graham_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Lindsey_Graham\Lindsey_Graham_0002.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Michael_Andretti\Michael_Andretti_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Jim_Bunning\Jim_Bunning_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Oliver_Phelps\Oliver_Phelps_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Tatyana_Tomashova\Tatyana_Tomashova_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Martha_Martinez_Flores\Martha_Martinez_Flores_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Tom_Coughlin\Tom_Coughlin_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Jim_Harrick\Jim_Harrick_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Jim_Harrick\Jim_Harrick_0001.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Ben_Howland\Ben_Howland_0003.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Ben_Howland\Ben_Howland_0002.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Eddie_Sutton\Eddie_Sutton_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Eddie_Sutton\Eddie_Sutton_0001.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Coretta_Scott_King\Coretta_Scott_King_0003.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Coretta_Scott_King\Coretta_Scott_King_0002.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Damon_van_Dam\Damon_van_Dam_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Damon_van_Dam\Damon_van_Dam_0001.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Michel_Duclos\Michel_Duclos_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Michel_Duclos\Michel_Duclos_0001.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Dave_Matthews\Dave_Matthews_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Marcos_Cafu\Marcos_Cafu_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Charles_Pouty\Charles_Pouty_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Angie_Martinez\Angie_Martinez_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Jennifer_Rodriguez\Jennifer_Rodriguez_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Jennifer_Rodriguez\Jennifer_Rodriguez_0001.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\James_Ivory\James_Ivory_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\James_Ivory\James_Ivory_0002.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Rick_Pitino\Rick_Pitino_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Douglas_Faneuil\Douglas_Faneuil_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Michael_Munoz\Michael_Munoz_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Michael_Hagee\Michael_Hagee_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Billy_Sollie\Billy_Sollie_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Dieter_Zetsche\Dieter_Zetsche_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Sam_Mendes\Sam_Mendes_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Sam_Mendes\Sam_Mendes_0002.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Jorge_Arce\Jorge_Arce_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\John_Manley\John_Manley_0007.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Keanu_Reeves\Keanu_Reeves_0009.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Keanu_Reeves\Keanu_Reeves_0003.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Priscilla_Presley\Priscilla_Presley_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Ben_Glisan\Ben_Glisan_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Donatella_Versace\Donatella_Versace_0003.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Donatella_Versace\Donatella_Versace_0001.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Mark_Komara\Mark_Komara_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Ernest_Hollings\Ernest_Hollings_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Keith_Bogans\Keith_Bogans_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Keith_Bogans\Keith_Bogans_0003.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Pedro_Almodovar\Pedro_Almodovar_0007.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Pedro_Almodovar\Pedro_Almodovar_0005.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Jose_Woldenberg\Jose_Woldenberg_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Joe_Nichols\Joe_Nichols_0003.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Candice_Bergen\Candice_Bergen_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Candice_Bergen\Candice_Bergen_0003.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Al_Pacino\Al_Pacino_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Al_Pacino\Al_Pacino_0003.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Roseanne_Barr\Roseanne_Barr_0003.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Roseanne_Barr\Roseanne_Barr_0001.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Simona_Hradil\Simona_Hradil_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Romeo_Gigli\Romeo_Gigli_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Natasa_Micic\Natasa_Micic_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Katie_Couric\Katie_Couric_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Keira_Knightley\Keira_Knightley_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Keira_Knightley\Keira_Knightley_0002.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Alison_Lohman\Alison_Lohman_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Andy_Griffith\Andy_Griffith_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Scott_Verplank\Scott_Verplank_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Joseph_Biden\Joseph_Biden_0003.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Roseanne_Barr\Roseanne_Barr_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Roseanne_Barr\Roseanne_Barr_0001.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Lisa_Marie_Presley\Lisa_Marie_Presley_0003.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Lisa_Marie_Presley\Lisa_Marie_Presley_0002.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Fidel_Castro\Fidel_Castro_0011.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Fidel_Castro\Fidel_Castro_0009.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Bruce_Van_De_Velde\Bruce_Van_De_Velde_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Bruce_Van_De_Velde\Bruce_Van_De_Velde_0002.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Mark_Wahlberg\Mark_Wahlberg_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Jason_Sorens\Jason_Sorens_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Junichiro_Koizumi\Junichiro_Koizumi_0021.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Junichiro_Koizumi\Junichiro_Koizumi_0005.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Zach_Parise\Zach_Parise_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Carolyn_Kuhl\Carolyn_Kuhl_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Federico_Trillo\Federico_Trillo_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Federico_Trillo\Federico_Trillo_0003.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Martin_Hoellwarth\Martin_Hoellwarth_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Martin_Hoellwarth\Martin_Hoellwarth_0002.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Tung_Chee-hwa\Tung_Chee-hwa_0009.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Tung_Chee-hwa\Tung_Chee-hwa_0002.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Riccardo_Muti\Riccardo_Muti_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Andrew_Wetzler\Andrew_Wetzler_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Peter_Mackay\Peter_Mackay_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Ray_Allen\Ray_Allen_0003.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Susan_Sarandon\Susan_Sarandon_0006.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Susan_Sarandon\Susan_Sarandon_0004.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Matthew_Broderick\Matthew_Broderick_0003.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Matthew_Broderick\Matthew_Broderick_0002.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Mitoji_Yabunaka\Mitoji_Yabunaka_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Sylvester_Stallone\Sylvester_Stallone_0002.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Laura_Ziskin\Laura_Ziskin_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Ivan_Shvedoff\Ivan_Shvedoff_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Flor_Montulo\Flor_Montulo_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Flor_Montulo\Flor_Montulo_0001.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Xavier_Malisse\Xavier_Malisse_0003.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Xavier_Malisse\Xavier_Malisse_0004.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Stephan_Eberharter\Stephan_Eberharter_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Jose_Viegas_Filho\Jose_Viegas_Filho_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Grant_Rossenmeyer\Grant_Rossenmeyer_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Alex_Popov\Alex_Popov_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Chan_Gailey\Chan_Gailey_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Chan_Gailey\Chan_Gailey_0003.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Marty_Mornhinweg\Marty_Mornhinweg_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Marty_Mornhinweg\Marty_Mornhinweg_0002.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Hisao_Oguchi\Hisao_Oguchi_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Deena_Burnett\Deena_Burnett_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\David_Carradine\David_Carradine_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Otto_Reich\Otto_Reich_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Anthony_Mazur\Anthony_Mazur_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Daniel_Bruehl\Daniel_Bruehl_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Nick_Nolte\Nick_Nolte_0004.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Nick_Nolte\Nick_Nolte_0002.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Howard_Schultz\Howard_Schultz_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Howard_Schultz\Howard_Schultz_0001.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Roseanne_Barr\Roseanne_Barr_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Roseanne_Barr\Roseanne_Barr_0003.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Lesley_Coppin\Lesley_Coppin_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Francisco_Urenda\Francisco_Urenda_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Dominique_Perben\Dominique_Perben_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Juan_Jose_Lucas\Juan_Jose_Lucas_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Russell_Crowe\Russell_Crowe_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Russell_Crowe\Russell_Crowe_0002.npy,1
