img1_path,img2_path,label
ValidationSet\RawFaces\Face Dataset\733\1.npy,ValidationSet\RawFaces\Face Dataset\509\1.npy,0
ValidationSet\RawFaces\Face Dataset\1535\6.npy,ValidationSet\RawFaces\Face Dataset\1535\5.npy,1
ValidationSet\RawFaces\Face Dataset\1312\2.npy,ValidationSet\RawFaces\Face Dataset\526\12.npy,0
ValidationSet\RawFaces\Face Dataset\746\0.npy,ValidationSet\RawFaces\Face Dataset\746\1.npy,1
ValidationSet\RawFaces\Face Dataset\1357\3.npy,ValidationSet\RawFaces\Face Dataset\1357\1.npy,1
ValidationSet\RawFaces\Face Dataset\746\5.npy,ValidationSet\RawFaces\Face Dataset\323\0.npy,0
ValidationSet\RawFaces\Face Dataset\491\0.npy,ValidationSet\RawFaces\Face Dataset\491\1.npy,1
ValidationSet\RawFaces\Face Dataset\1574\1.npy,ValidationSet\RawFaces\Face Dataset\1574\0.npy,1
ValidationSet\RawFaces\Face Dataset\1381\3.npy,ValidationSet\RawFaces\Face Dataset\1381\4.npy,1
ValidationSet\RawFaces\Face Dataset\1566\1.npy,ValidationSet\RawFaces\Face Dataset\1566\0.npy,1
ValidationSet\RawFaces\Face Dataset\459\0.npy,ValidationSet\RawFaces\Face Dataset\459\1.npy,1
ValidationSet\RawFaces\Face Dataset\974\1.npy,ValidationSet\RawFaces\Face Dataset\1652\23.npy,0
ValidationSet\RawFaces\Face Dataset\396\1.npy,ValidationSet\RawFaces\Face Dataset\340\0.npy,0
ValidationSet\RawFaces\Face Dataset\62\0.npy,ValidationSet\RawFaces\Face Dataset\60\24.npy,0
ValidationSet\RawFaces\Face Dataset\737\0.npy,ValidationSet\RawFaces\Face Dataset\737\1.npy,1
ValidationSet\RawFaces\Face Dataset\926\1.npy,ValidationSet\RawFaces\Face Dataset\1329\0.npy,0
ValidationSet\RawFaces\Face Dataset\276\1.npy,ValidationSet\RawFaces\Face Dataset\276\0.npy,1
ValidationSet\RawFaces\Face Dataset\916\1.npy,ValidationSet\RawFaces\Face Dataset\414\0.npy,0
ValidationSet\RawFaces\Face Dataset\363\1.npy,ValidationSet\RawFaces\Face Dataset\363\0.npy,1
ValidationSet\RawFaces\Face Dataset\1041\0.npy,ValidationSet\RawFaces\Face Dataset\1\0.npy,0
ValidationSet\RawFaces\Face Dataset\1419\3.npy,ValidationSet\RawFaces\Face Dataset\1419\0.npy,1
ValidationSet\RawFaces\Face Dataset\771\6.npy,ValidationSet\RawFaces\Face Dataset\1416\0.npy,0
ValidationSet\RawFaces\Face Dataset\959\1.npy,ValidationSet\RawFaces\Face Dataset\959\0.npy,1
ValidationSet\RawFaces\Face Dataset\15\1.npy,ValidationSet\RawFaces\Face Dataset\15\0.npy,1
ValidationSet\RawFaces\Face Dataset\646\1.npy,ValidationSet\RawFaces\Face Dataset\646\0.npy,1
ValidationSet\RawFaces\Face Dataset\199\0.npy,ValidationSet\RawFaces\Face Dataset\858\4.npy,0
ValidationSet\RawFaces\Face Dataset\1551\1.npy,ValidationSet\RawFaces\Face Dataset\603\1.npy,0
ValidationSet\RawFaces\Face Dataset\1439\2.npy,ValidationSet\RawFaces\Face Dataset\1439\1.npy,1
ValidationSet\RawFaces\Face Dataset\1216\0.npy,ValidationSet\RawFaces\Face Dataset\1341\0.npy,0
ValidationSet\RawFaces\Face Dataset\512\1.npy,ValidationSet\RawFaces\Face Dataset\354\5.npy,0
ValidationSet\RawFaces\Face Dataset\951\0.npy,ValidationSet\RawFaces\Face Dataset\11\1.npy,0
ValidationSet\RawFaces\Face Dataset\40\0.npy,ValidationSet\RawFaces\Face Dataset\40\1.npy,1
ValidationSet\RawFaces\Face Dataset\848\0.npy,ValidationSet\RawFaces\Face Dataset\1043\6.npy,0
ValidationSet\RawFaces\Face Dataset\572\0.npy,ValidationSet\RawFaces\Face Dataset\921\0.npy,0
ValidationSet\RawFaces\Face Dataset\1038\0.npy,ValidationSet\RawFaces\Face Dataset\327\0.npy,0
ValidationSet\RawFaces\Face Dataset\1552\1.npy,ValidationSet\RawFaces\Face Dataset\1552\0.npy,1
ValidationSet\RawFaces\Face Dataset\1106\4.npy,ValidationSet\RawFaces\Face Dataset\588\13.npy,0
ValidationSet\RawFaces\Face Dataset\608\0.npy,ValidationSet\RawFaces\Face Dataset\608\2.npy,1
ValidationSet\RawFaces\Face Dataset\749\1.npy,ValidationSet\RawFaces\Face Dataset\1454\1.npy,0
ValidationSet\RawFaces\Face Dataset\1674\0.npy,ValidationSet\RawFaces\Face Dataset\239\0.npy,0
ValidationSet\RawFaces\Face Dataset\1270\15.npy,ValidationSet\RawFaces\Face Dataset\1461\1.npy,0
ValidationSet\RawFaces\Face Dataset\983\0.npy,ValidationSet\RawFaces\Face Dataset\983\1.npy,1
ValidationSet\RawFaces\Face Dataset\1174\2.npy,ValidationSet\RawFaces\Face Dataset\388\2.npy,0
ValidationSet\RawFaces\Face Dataset\1103\0.npy,ValidationSet\RawFaces\Face Dataset\1103\1.npy,1
ValidationSet\RawFaces\Face Dataset\439\0.npy,ValidationSet\RawFaces\Face Dataset\439\1.npy,1
ValidationSet\RawFaces\Face Dataset\924\2.npy,ValidationSet\RawFaces\Face Dataset\335\0.npy,0
ValidationSet\RawFaces\Face Dataset\28\0.npy,ValidationSet\RawFaces\Face Dataset\28\1.npy,1
ValidationSet\RawFaces\Face Dataset\970\0.npy,ValidationSet\RawFaces\Face Dataset\970\1.npy,1
ValidationSet\RawFaces\Face Dataset\1262\1.npy,ValidationSet\RawFaces\Face Dataset\1353\1.npy,0
ValidationSet\RawFaces\Face Dataset\956\2.npy,ValidationSet\RawFaces\Face Dataset\956\1.npy,1
ValidationSet\RawFaces\Face Dataset\739\0.npy,ValidationSet\RawFaces\Face Dataset\739\1.npy,1
ValidationSet\RawFaces\Face Dataset\1166\0.npy,ValidationSet\RawFaces\Face Dataset\40\3.npy,0
ValidationSet\RawFaces\Face Dataset\313\0.npy,ValidationSet\RawFaces\Face Dataset\313\2.npy,1
ValidationSet\RawFaces\Face Dataset\111\8.npy,ValidationSet\RawFaces\Face Dataset\111\11.npy,1
ValidationSet\RawFaces\Face Dataset\1405\7.npy,ValidationSet\RawFaces\Face Dataset\1528\0.npy,0
ValidationSet\RawFaces\Face Dataset\242\0.npy,ValidationSet\RawFaces\Face Dataset\1426\0.npy,0
ValidationSet\RawFaces\Face Dataset\1030\0.npy,ValidationSet\RawFaces\Face Dataset\18\1.npy,0
ValidationSet\RawFaces\Face Dataset\1042\1.npy,ValidationSet\RawFaces\Face Dataset\1022\2.npy,0
ValidationSet\RawFaces\Face Dataset\853\2.npy,ValidationSet\RawFaces\Face Dataset\853\7.npy,1
ValidationSet\RawFaces\Face Dataset\847\0.npy,ValidationSet\RawFaces\Face Dataset\847\1.npy,1
ValidationSet\RawFaces\Face Dataset\594\1.npy,ValidationSet\RawFaces\Face Dataset\594\2.npy,1
ValidationSet\RawFaces\Face Dataset\860\1.npy,ValidationSet\RawFaces\Face Dataset\243\2.npy,0
ValidationSet\RawFaces\Face Dataset\429\0.npy,ValidationSet\RawFaces\Face Dataset\158\5.npy,0
ValidationSet\RawFaces\Face Dataset\1601\0.npy,ValidationSet\RawFaces\Face Dataset\1601\1.npy,1
ValidationSet\RawFaces\Face Dataset\1676\8.npy,ValidationSet\RawFaces\Face Dataset\1077\2.npy,0
ValidationSet\RawFaces\Face Dataset\1388\1.npy,ValidationSet\RawFaces\Face Dataset\330\1.npy,0
ValidationSet\RawFaces\Face Dataset\956\2.npy,ValidationSet\RawFaces\Face Dataset\956\1.npy,1
ValidationSet\RawFaces\Face Dataset\217\1.npy,ValidationSet\RawFaces\Face Dataset\217\2.npy,1
ValidationSet\RawFaces\Face Dataset\1221\3.npy,ValidationSet\RawFaces\Face Dataset\1285\1.npy,0
ValidationSet\RawFaces\Face Dataset\258\1.npy,ValidationSet\RawFaces\Face Dataset\1151\1.npy,0
ValidationSet\RawFaces\Face Dataset\1504\0.npy,ValidationSet\RawFaces\Face Dataset\1504\1.npy,1
ValidationSet\RawFaces\Face Dataset\1186\0.npy,ValidationSet\RawFaces\Face Dataset\1186\1.npy,1
ValidationSet\RawFaces\Face Dataset\177\1.npy,ValidationSet\RawFaces\Face Dataset\496\1.npy,0
ValidationSet\RawFaces\Face Dataset\527\0.npy,ValidationSet\RawFaces\Face Dataset\981\1.npy,0
ValidationSet\RawFaces\Face Dataset\1337\1.npy,ValidationSet\RawFaces\Face Dataset\1337\2.npy,1
ValidationSet\RawFaces\Face Dataset\389\2.npy,ValidationSet\RawFaces\Face Dataset\575\1.npy,0
ValidationSet\RawFaces\Face Dataset\1209\1.npy,ValidationSet\RawFaces\Face Dataset\466\0.npy,0
ValidationSet\RawFaces\Face Dataset\53\2.npy,ValidationSet\RawFaces\Face Dataset\53\1.npy,1
ValidationSet\RawFaces\Face Dataset\394\0.npy,ValidationSet\RawFaces\Face Dataset\394\1.npy,1
ValidationSet\RawFaces\Face Dataset\1632\2.npy,ValidationSet\RawFaces\Face Dataset\1632\3.npy,1
ValidationSet\RawFaces\Face Dataset\177\1.npy,ValidationSet\RawFaces\Face Dataset\177\0.npy,1
ValidationSet\RawFaces\Face Dataset\27\0.npy,ValidationSet\RawFaces\Face Dataset\27\4.npy,1
ValidationSet\RawFaces\Face Dataset\229\2.npy,ValidationSet\RawFaces\Face Dataset\1365\0.npy,0
ValidationSet\RawFaces\Face Dataset\239\1.npy,ValidationSet\RawFaces\Face Dataset\239\0.npy,1
ValidationSet\RawFaces\Face Dataset\1387\3.npy,ValidationSet\RawFaces\Face Dataset\1562\0.npy,0
ValidationSet\RawFaces\Face Dataset\26\1.npy,ValidationSet\RawFaces\Face Dataset\26\0.npy,1
ValidationSet\RawFaces\Face Dataset\901\1.npy,ValidationSet\RawFaces\Face Dataset\209\0.npy,0
ValidationSet\RawFaces\Face Dataset\1076\2.npy,ValidationSet\RawFaces\Face Dataset\1076\0.npy,1
ValidationSet\RawFaces\Face Dataset\562\1.npy,ValidationSet\RawFaces\Face Dataset\8\0.npy,0
ValidationSet\RawFaces\Face Dataset\744\0.npy,ValidationSet\RawFaces\Face Dataset\744\2.npy,1
ValidationSet\RawFaces\Face Dataset\344\0.npy,ValidationSet\RawFaces\Face Dataset\1521\1.npy,0
ValidationSet\RawFaces\Face Dataset\1133\1.npy,ValidationSet\RawFaces\Face Dataset\1133\0.npy,1
ValidationSet\RawFaces\Face Dataset\1636\1.npy,ValidationSet\RawFaces\Face Dataset\1143\0.npy,0
ValidationSet\RawFaces\Face Dataset\1164\0.npy,ValidationSet\RawFaces\Face Dataset\1164\1.npy,1
ValidationSet\RawFaces\Face Dataset\1380\1.npy,ValidationSet\RawFaces\Face Dataset\1380\3.npy,1
ValidationSet\RawFaces\Face Dataset\735\0.npy,ValidationSet\RawFaces\Face Dataset\735\1.npy,1
ValidationSet\RawFaces\Face Dataset\1508\1.npy,ValidationSet\RawFaces\Face Dataset\207\3.npy,0
ValidationSet\RawFaces\Face Dataset\1294\3.npy,ValidationSet\RawFaces\Face Dataset\1294\4.npy,1
ValidationSet\RawFaces\Face Dataset\376\0.npy,ValidationSet\RawFaces\Face Dataset\866\0.npy,0
ValidationSet\RawFaces\Face Dataset\707\1.npy,ValidationSet\RawFaces\Face Dataset\36\1.npy,0
ValidationSet\RawFaces\Face Dataset\203\2.npy,ValidationSet\RawFaces\Face Dataset\203\0.npy,1
ValidationSet\RawFaces\Face Dataset\779\4.npy,ValidationSet\RawFaces\Face Dataset\779\6.npy,1
ValidationSet\RawFaces\Face Dataset\1025\2.npy,ValidationSet\RawFaces\Face Dataset\1601\0.npy,0
ValidationSet\RawFaces\Face Dataset\400\2.npy,ValidationSet\RawFaces\Face Dataset\862\4.npy,0
ValidationSet\RawFaces\Face Dataset\873\1.npy,ValidationSet\RawFaces\Face Dataset\1050\0.npy,0
ValidationSet\RawFaces\Face Dataset\246\1.npy,ValidationSet\RawFaces\Face Dataset\246\2.npy,1
ValidationSet\RawFaces\Face Dataset\363\1.npy,ValidationSet\RawFaces\Face Dataset\363\0.npy,1
ValidationSet\RawFaces\Face Dataset\194\4.npy,ValidationSet\RawFaces\Face Dataset\194\0.npy,1
ValidationSet\RawFaces\Face Dataset\1599\1.npy,ValidationSet\RawFaces\Face Dataset\1599\0.npy,1
ValidationSet\RawFaces\Face Dataset\124\0.npy,ValidationSet\RawFaces\Face Dataset\124\1.npy,1
ValidationSet\RawFaces\Face Dataset\230\3.npy,ValidationSet\RawFaces\Face Dataset\230\2.npy,1
ValidationSet\RawFaces\Face Dataset\1130\0.npy,ValidationSet\RawFaces\Face Dataset\118\1.npy,0
ValidationSet\RawFaces\Face Dataset\1409\0.npy,ValidationSet\RawFaces\Face Dataset\113\0.npy,0
ValidationSet\RawFaces\Face Dataset\1602\1.npy,ValidationSet\RawFaces\Face Dataset\1602\0.npy,1
ValidationSet\RawFaces\Face Dataset\103\3.npy,ValidationSet\RawFaces\Face Dataset\1308\7.npy,0
ValidationSet\RawFaces\Face Dataset\1026\1.npy,ValidationSet\RawFaces\Face Dataset\1026\0.npy,1
ValidationSet\RawFaces\Face Dataset\184\1.npy,ValidationSet\RawFaces\Face Dataset\301\0.npy,0
ValidationSet\RawFaces\Face Dataset\414\0.npy,ValidationSet\RawFaces\Face Dataset\64\6.npy,0
ValidationSet\RawFaces\Face Dataset\142\0.npy,ValidationSet\RawFaces\Face Dataset\1029\1.npy,0
ValidationSet\RawFaces\Face Dataset\1493\2.npy,ValidationSet\RawFaces\Face Dataset\1104\0.npy,0
ValidationSet\RawFaces\Face Dataset\608\1.npy,ValidationSet\RawFaces\Face Dataset\1464\2.npy,0
ValidationSet\RawFaces\Face Dataset\129\0.npy,ValidationSet\RawFaces\Face Dataset\884\0.npy,0
ValidationSet\RawFaces\Face Dataset\1052\3.npy,ValidationSet\RawFaces\Face Dataset\1052\2.npy,1
ValidationSet\RawFaces\Face Dataset\1208\0.npy,ValidationSet\RawFaces\Face Dataset\1106\2.npy,0
ValidationSet\RawFaces\Face Dataset\555\1.npy,ValidationSet\RawFaces\Face Dataset\555\5.npy,1
ValidationSet\RawFaces\Face Dataset\871\1.npy,ValidationSet\RawFaces\Face Dataset\871\0.npy,1
ValidationSet\RawFaces\Face Dataset\18\1.npy,ValidationSet\RawFaces\Face Dataset\68\0.npy,0
ValidationSet\RawFaces\Face Dataset\1176\9.npy,ValidationSet\RawFaces\Face Dataset\1604\0.npy,0
ValidationSet\RawFaces\Face Dataset\284\2.npy,ValidationSet\RawFaces\Face Dataset\981\0.npy,0
ValidationSet\RawFaces\Face Dataset\1637\1.npy,ValidationSet\RawFaces\Face Dataset\1637\2.npy,1
ValidationSet\RawFaces\Face Dataset\1283\0.npy,ValidationSet\RawFaces\Face Dataset\1594\2.npy,0
ValidationSet\RawFaces\Face Dataset\118\1.npy,ValidationSet\RawFaces\Face Dataset\924\2.npy,0
ValidationSet\RawFaces\Face Dataset\1441\1.npy,ValidationSet\RawFaces\Face Dataset\1441\0.npy,1
ValidationSet\RawFaces\Face Dataset\605\3.npy,ValidationSet\RawFaces\Face Dataset\614\0.npy,0
ValidationSet\RawFaces\Face Dataset\658\1.npy,ValidationSet\RawFaces\Face Dataset\314\1.npy,0
ValidationSet\RawFaces\Face Dataset\1420\0.npy,ValidationSet\RawFaces\Face Dataset\543\1.npy,0
ValidationSet\RawFaces\Face Dataset\182\2.npy,ValidationSet\RawFaces\Face Dataset\128\0.npy,0
ValidationSet\RawFaces\Face Dataset\518\0.npy,ValidationSet\RawFaces\Face Dataset\518\1.npy,1
ValidationSet\RawFaces\Face Dataset\1454\2.npy,ValidationSet\RawFaces\Face Dataset\1454\3.npy,1
ValidationSet\RawFaces\Face Dataset\138\1.npy,ValidationSet\RawFaces\Face Dataset\1095\1.npy,0
ValidationSet\RawFaces\Face Dataset\926\1.npy,ValidationSet\RawFaces\Face Dataset\926\0.npy,1
ValidationSet\RawFaces\Face Dataset\172\1.npy,ValidationSet\RawFaces\Face Dataset\172\0.npy,1
ValidationSet\RawFaces\Face Dataset\1642\2.npy,ValidationSet\RawFaces\Face Dataset\405\0.npy,0
ValidationSet\RawFaces\Face Dataset\1075\4.npy,ValidationSet\RawFaces\Face Dataset\1075\6.npy,1
ValidationSet\RawFaces\Face Dataset\1126\0.npy,ValidationSet\RawFaces\Face Dataset\175\1.npy,0
ValidationSet\RawFaces\Face Dataset\1168\2.npy,ValidationSet\RawFaces\Face Dataset\1168\0.npy,1
ValidationSet\RawFaces\Face Dataset\706\1.npy,ValidationSet\RawFaces\Face Dataset\656\0.npy,0
ValidationSet\RawFaces\Face Dataset\1608\4.npy,ValidationSet\RawFaces\Face Dataset\1608\1.npy,1
ValidationSet\RawFaces\Face Dataset\653\1.npy,ValidationSet\RawFaces\Face Dataset\653\0.npy,1
ValidationSet\RawFaces\Face Dataset\1105\0.npy,ValidationSet\RawFaces\Face Dataset\1602\0.npy,0
ValidationSet\RawFaces\Face Dataset\1213\3.npy,ValidationSet\RawFaces\Face Dataset\1213\0.npy,1
ValidationSet\RawFaces\Face Dataset\698\1.npy,ValidationSet\RawFaces\Face Dataset\1103\1.npy,0
ValidationSet\RawFaces\Face Dataset\452\1.npy,ValidationSet\RawFaces\Face Dataset\452\0.npy,1
ValidationSet\RawFaces\Face Dataset\387\0.npy,ValidationSet\RawFaces\Face Dataset\297\0.npy,0
ValidationSet\RawFaces\Face Dataset\1649\1.npy,ValidationSet\RawFaces\Face Dataset\170\1.npy,0
ValidationSet\RawFaces\Face Dataset\1387\2.npy,ValidationSet\RawFaces\Face Dataset\479\0.npy,0
ValidationSet\RawFaces\Face Dataset\1574\0.npy,ValidationSet\RawFaces\Face Dataset\1574\1.npy,1
ValidationSet\RawFaces\Face Dataset\958\0.npy,ValidationSet\RawFaces\Face Dataset\958\2.npy,1
ValidationSet\RawFaces\Face Dataset\1340\1.npy,ValidationSet\RawFaces\Face Dataset\1340\0.npy,1
ValidationSet\RawFaces\Face Dataset\1191\1.npy,ValidationSet\RawFaces\Face Dataset\1184\0.npy,0
ValidationSet\RawFaces\Face Dataset\443\1.npy,ValidationSet\RawFaces\Face Dataset\443\0.npy,1
ValidationSet\RawFaces\Face Dataset\590\0.npy,ValidationSet\RawFaces\Face Dataset\590\1.npy,1
ValidationSet\RawFaces\Face Dataset\791\0.npy,ValidationSet\RawFaces\Face Dataset\839\0.npy,0
ValidationSet\RawFaces\Face Dataset\1533\1.npy,ValidationSet\RawFaces\Face Dataset\1533\0.npy,1
ValidationSet\RawFaces\Face Dataset\405\1.npy,ValidationSet\RawFaces\Face Dataset\405\0.npy,1
ValidationSet\RawFaces\Face Dataset\1671\1.npy,ValidationSet\RawFaces\Face Dataset\1671\0.npy,1
ValidationSet\RawFaces\Face Dataset\1045\0.npy,ValidationSet\RawFaces\Face Dataset\1045\1.npy,1
ValidationSet\RawFaces\Face Dataset\183\2.npy,ValidationSet\RawFaces\Face Dataset\853\4.npy,0
ValidationSet\RawFaces\Face Dataset\1232\1.npy,ValidationSet\RawFaces\Face Dataset\1320\1.npy,0
ValidationSet\RawFaces\Face Dataset\1577\4.npy,ValidationSet\RawFaces\Face Dataset\361\0.npy,0
ValidationSet\RawFaces\Face Dataset\654\28.npy,ValidationSet\RawFaces\Face Dataset\405\0.npy,0
ValidationSet\RawFaces\Face Dataset\171\8.npy,ValidationSet\RawFaces\Face Dataset\562\0.npy,0
ValidationSet\RawFaces\Face Dataset\457\0.npy,ValidationSet\RawFaces\Face Dataset\457\3.npy,1
ValidationSet\RawFaces\Face Dataset\29\2.npy,ValidationSet\RawFaces\Face Dataset\1307\1.npy,0
ValidationSet\RawFaces\Face Dataset\600\3.npy,ValidationSet\RawFaces\Face Dataset\1134\1.npy,0
ValidationSet\RawFaces\Face Dataset\1216\0.npy,ValidationSet\RawFaces\Face Dataset\1144\1.npy,0
ValidationSet\RawFaces\Face Dataset\1517\1.npy,ValidationSet\RawFaces\Face Dataset\1517\0.npy,1
ValidationSet\RawFaces\Face Dataset\1090\1.npy,ValidationSet\RawFaces\Face Dataset\1090\2.npy,1
ValidationSet\RawFaces\Face Dataset\858\6.npy,ValidationSet\RawFaces\Face Dataset\859\1.npy,0
ValidationSet\RawFaces\Face Dataset\316\5.npy,ValidationSet\RawFaces\Face Dataset\844\1.npy,0
ValidationSet\RawFaces\Face Dataset\1577\0.npy,ValidationSet\RawFaces\Face Dataset\1577\8.npy,1
ValidationSet\RawFaces\Face Dataset\169\1.npy,ValidationSet\RawFaces\Face Dataset\169\0.npy,1
ValidationSet\RawFaces\Face Dataset\156\0.npy,ValidationSet\RawFaces\Face Dataset\403\1.npy,0
ValidationSet\RawFaces\Face Dataset\71\1.npy,ValidationSet\RawFaces\Face Dataset\71\0.npy,1
ValidationSet\RawFaces\Face Dataset\914\1.npy,ValidationSet\RawFaces\Face Dataset\914\0.npy,1
ValidationSet\RawFaces\Face Dataset\1370\2.npy,ValidationSet\RawFaces\Face Dataset\69\6.npy,0
ValidationSet\RawFaces\Face Dataset\147\0.npy,ValidationSet\RawFaces\Face Dataset\456\0.npy,0
ValidationSet\RawFaces\Face Dataset\1246\3.npy,ValidationSet\RawFaces\Face Dataset\497\0.npy,0
ValidationSet\RawFaces\Face Dataset\623\2.npy,ValidationSet\RawFaces\Face Dataset\623\0.npy,1
ValidationSet\RawFaces\Face Dataset\1448\1.npy,ValidationSet\RawFaces\Face Dataset\1448\0.npy,1
ValidationSet\RawFaces\Face Dataset\97\2.npy,ValidationSet\RawFaces\Face Dataset\1225\8.npy,0
ValidationSet\RawFaces\Face Dataset\1354\0.npy,ValidationSet\RawFaces\Face Dataset\39\1.npy,0
ValidationSet\RawFaces\Face Dataset\1109\0.npy,ValidationSet\RawFaces\Face Dataset\423\1.npy,0
ValidationSet\RawFaces\Face Dataset\1566\1.npy,ValidationSet\RawFaces\Face Dataset\1566\0.npy,1
ValidationSet\RawFaces\Face Dataset\51\1.npy,ValidationSet\RawFaces\Face Dataset\80\0.npy,0
ValidationSet\RawFaces\Face Dataset\301\1.npy,ValidationSet\RawFaces\Face Dataset\1045\1.npy,0
ValidationSet\RawFaces\Face Dataset\837\1.npy,ValidationSet\RawFaces\Face Dataset\837\0.npy,1
ValidationSet\RawFaces\Face Dataset\838\1.npy,ValidationSet\RawFaces\Face Dataset\1163\0.npy,0
ValidationSet\RawFaces\Face Dataset\995\1.npy,ValidationSet\RawFaces\Face Dataset\70\16.npy,0
ValidationSet\RawFaces\Face Dataset\993\1.npy,ValidationSet\RawFaces\Face Dataset\993\0.npy,1
ValidationSet\RawFaces\Face Dataset\517\0.npy,ValidationSet\RawFaces\Face Dataset\517\4.npy,1
ValidationSet\RawFaces\Face Dataset\1204\1.npy,ValidationSet\RawFaces\Face Dataset\1204\0.npy,1
ValidationSet\RawFaces\Face Dataset\1205\1.npy,ValidationSet\RawFaces\Face Dataset\1205\5.npy,1
ValidationSet\RawFaces\Face Dataset\1072\1.npy,ValidationSet\RawFaces\Face Dataset\870\0.npy,0
ValidationSet\RawFaces\Face Dataset\113\3.npy,ValidationSet\RawFaces\Face Dataset\981\1.npy,0
ValidationSet\RawFaces\Face Dataset\397\1.npy,ValidationSet\RawFaces\Face Dataset\925\1.npy,0
ValidationSet\RawFaces\Face Dataset\89\8.npy,ValidationSet\RawFaces\Face Dataset\89\10.npy,1
ValidationSet\RawFaces\Face Dataset\639\1.npy,ValidationSet\RawFaces\Face Dataset\1181\4.npy,0
ValidationSet\RawFaces\Face Dataset\692\0.npy,ValidationSet\RawFaces\Face Dataset\1481\0.npy,0
ValidationSet\RawFaces\Face Dataset\917\0.npy,ValidationSet\RawFaces\Face Dataset\917\2.npy,1
ValidationSet\RawFaces\Face Dataset\709\5.npy,ValidationSet\RawFaces\Face Dataset\709\38.npy,1
ValidationSet\RawFaces\Face Dataset\1332\16.npy,ValidationSet\RawFaces\Face Dataset\1332\13.npy,1
ValidationSet\RawFaces\Face Dataset\1208\1.npy,ValidationSet\RawFaces\Face Dataset\862\5.npy,0
ValidationSet\RawFaces\Face Dataset\1017\1.npy,ValidationSet\RawFaces\Face Dataset\66\3.npy,0
ValidationSet\RawFaces\Face Dataset\929\0.npy,ValidationSet\RawFaces\Face Dataset\929\1.npy,1
ValidationSet\RawFaces\Face Dataset\353\0.npy,ValidationSet\RawFaces\Face Dataset\353\3.npy,1
ValidationSet\RawFaces\Face Dataset\1675\0.npy,ValidationSet\RawFaces\Face Dataset\1476\0.npy,0
ValidationSet\RawFaces\Face Dataset\17\9.npy,ValidationSet\RawFaces\Face Dataset\1611\3.npy,0
